repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note
ready,511782,P511782,Q2164503,CDLI Seals 013304 (physical),Cuneiform Artifact CDLI Seals 013304 (physical),,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,512454,P512454,Q2168119,"NAPR 6, 07 Di 690","Cuneiform Tablet NAPR 6, 07 Di 690",,P853,Q512146,Lagash II Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,513245,P513245,Q2162845,"OIP 043, 177 TA 1930 T250","Cuneiform Tablet OIP 043, 177 TA 1930 T250",,P853,Q512152,Old Babylonian Period,Early Old Babylonian Period,Q512150,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,516417,P516417,Q2162331,"CUSAS 40, 1633","Cuneiform Tablet CUSAS 40, 1633",,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,518409,P518409,Q2166093,STUBM 026,Cuneiform Tablet STUBM 026,,P853,Q512146,Lagash II Period,Hellenistic Period,Q512164,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,519648,P519648,Q2163220,CDLI Seals 014267 (composite),Cuneiform Artifact CDLI Seals 014267 (composite),,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,522365,P522365,Q2167227,CDLI Seals 015367 (physical),Cuneiform Artifact CDLI Seals 015367 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,524136,P524136,Q2162483,BM 097375,Cuneiform Tablet BM 097375,,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,529704,P529704,Q2163831,"RA 113, 059-069 11","Cuneiform Tablet RA 113, 059-069 11",,P853,Q512146,Lagash II Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,530525,P530525,Q2163379,CDLI Seals 014847 (physical),Cuneiform Artifact CDLI Seals 014847 (physical),,P853,Q512146,Lagash II Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,530876,P530876,Q2165800,"Fs Součková-Siegelová 422, 13","Cuneiform Tablet Fs Součková-Siegelová 422, 13",,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,531334,P531334,Q2168323,Textes Scolaires 091,Cuneiform Tablet Textes Scolaires 091,,P853,Q512148,Ur III Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532488,P532488,Q2163007,SPAB 020,Cuneiform Tablet SPAB 020,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532518,P532518,Q2163113,SPAB 052,Cuneiform Tablet SPAB 052,,P853,Q512148,Ur III Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532522,P532522,Q2163106,SPAB 056,Cuneiform Tablet SPAB 056,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532559,P532559,Q2166045,SPAB 094,Cuneiform Tablet SPAB 094,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532627,P532627,Q2047916,SPAB 165,Cuneiform Tablet SPAB 165,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532631,P532631,Q2168774,SPAB 169,Cuneiform Tablet SPAB 169,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532670,P532670,Q2166533,SPAB 208,Cuneiform Tablet SPAB 208,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532735,P532735,Q2167456,SPAB 275,Cuneiform Tablet SPAB 275,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532762,P532762,Q2063788,SPAB 302,Cuneiform Tablet SPAB 302,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532774,P532774,Q2169726,SPAB 315,Cuneiform Tablet SPAB 315,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532871,P532871,Q2163252,SPAB 413,Cuneiform Tablet SPAB 413,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532918,P532918,Q2168094,SPAB 460,Cuneiform Tablet SPAB 460,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532934,P532934,Q2163636,SPAB 476,Cuneiform Tablet SPAB 476,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,532959,P532959,Q2170406,SPAB 501,Cuneiform Tablet SPAB 501,,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,534788,P534788,Q1366423,"AKT 6b, 301",Cuneiform Tablet Kt 94/k 642 (AKT 6b 301),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,534874,P534874,Q1365914,"AKT 6b, 397",Cuneiform Tablet Kt 94/k 1406 (AKT 6b 397),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,534931,P534931,Q1367088,"AKT 6b, 461",Cuneiform Tablet Kt 94/k 1695 (AKT 6b 461),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,534966,P534966,Q1366906,"AKT 6b, 497",Cuneiform Tablet Kt 94/k 1615 (AKT 6b 497),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535033,P535033,Q1363304,"AKT 6c, 568",Cuneiform Tablet Kt 94/k 726 (AKT 6c 568),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535064,P535064,Q1367915,"AKT 6c, 605",Cuneiform Tablet Kt 94/k 942 (AKT 6c 605),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535121,P535121,Q1368349,"AKT 6c, 667",Cuneiform Tablet Kt 94/k 1474 (AKT 6c 667),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535199,P535199,Q1364716,AMM — unpublished unassigned ?,Cuneiform Tablet Kt m/k 23,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535208,P535208,Q1364128,AMM — unpublished unassigned ?,Cuneiform Tablet Kt m/k 32,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535224,P535224,Q1368800,AMM — unpublished unassigned ?,Cuneiform Tablet Kt m/k 48,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535232,P535232,Q2153971,AMM — unpublished unassigned ?,Cuneiform Artifact P535232,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535273,P535273,Q1368311,AMM — unpublished unassigned ?,Cuneiform Tablet Kt m/k 101,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535336,P535336,Q1368476,AMM — unpublished unassigned ?,Cuneiform Tablet Kt m/k 170,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535361,P535361,Q2010581,"ArAn 13/2, 101-122 no. 11","Cuneiform Tablet ArAn 13/2, 101-122 no. 11",,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535434,P535434,Q1364782,"AKT 6d, 806 & 806a",Cuneiform Tablet Kt 94/k 1161 (AKT 6d 806a),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535571,P535571,Q1364477,"AKT 6e, 947",Cuneiform Tablet Kt 94/k 1752 (AKT 6e 947),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535623,P535623,Q1365818,"AKT 6e, 999",Cuneiform Tablet Kt 94/k 683 (AKT 6e 999),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535658,P535658,Q1364247,"AKT 6e, 1038",Cuneiform Tablet Kt 94/k 990 (AKT 6e 1038),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535674,P535674,Q1364936,"AKT 6e, 1054",Cuneiform Tablet Kt 94/k 1099 (AKT 6e 1054),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535731,P535731,Q1366888,"AKT 6e, 1115",Cuneiform Tablet Kt 94/k 1520 (AKT 6e 1115),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535766,P535766,Q1366613,"AKT 6e, 1154",Cuneiform Tablet Kt 94/k 900 (AKT 6e 1154),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535789,P535789,Q1367483,"AKT 6e, 1180",Cuneiform Tablet Kt 94/k 1430 (AKT 6e 1180),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535818,P535818,Q2169543,"AKT 7a, 003","Cuneiform Tablet AKT 7a, 003",,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535822,P535822,Q2164248,"AKT 7a, 007","Cuneiform Tablet AKT 7a, 007",,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535859,P535859,Q1363559,"AKT 7a, 042",Cuneiform Tablet Kt 88/k 137 (AKT 7a 42),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535875,P535875,Q1368364,"AKT 7a, 058",Cuneiform Tablet Kt 88/k 309 (AKT 7a 58),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535930,P535930,Q1367165,"AKT 7a, 112",Cuneiform Tablet Kt 88/k 152 (AKT 7a 112),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535967,P535967,Q1363974,"AKT 7a, 149",Cuneiform Tablet Kt 88/k 677 (AKT 7a 149),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,535988,P535988,Q1365595,"AKT 7a, 170",Cuneiform Tablet Kt 88/k 47 (AKT 7a 170),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536058,P536058,Q1365085,"AKT 7a, 235",Cuneiform Tablet Kt 88/k 41 (AKT 7a 235),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536074,P536074,Q1363785,"AKT 7a, 251",Cuneiform Tablet Kt 88/k 729 (AKT 7a 251),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536131,P536131,Q1364955,"AKT 7a, 305",Cuneiform Tablet Kt 88/k 183 (AKT 7a 305),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536218,P536218,Q1368264,"AKT 8, 083",Cuneiform Tablet Kt 92/k 152 (AKT 8 83),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536263,P536263,Q1364517,"AKT 8, 128",Cuneiform Tablet Kt 91/k 324 (AKT 8 128),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536326,P536326,Q1363423,"AKT 8, 193",Cuneiform Tablet Kt 91/k 503 (AKT 8 193),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536408,P536408,Q1362967,"AKT 8, 276",Cuneiform Tablet Kt 91/k 500 (AKT 8 276),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536424,P536424,Q1363625,"AKT 8, 292",Cuneiform Tablet Kt 91/k 498 (AKT 8 292),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536561,P536561,Q1367696,"AKT 9a, 057",Cuneiform Tablet Kt c/k 1508 (AKT 9a 57),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536633,P536633,Q1363777,"AKT 9a, 130",Cuneiform Tablet Kt c/k 1264 (AKT 9a 130),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536648,P536648,Q1366994,"AKT 9a, 145",Cuneiform Tablet Kt c/k 884 (AKT 9a 145),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536776,P536776,Q1368722,"AKT 11a, 041",Cuneiform Tablet Kt 92/k 407 (AKT 11a 41),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536799,P536799,Q1365088,"AKT 11a, 064",Cuneiform Tablet Kt 92/k 444 (AKT 11a 64),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536832,P536832,Q1366196,"AKT 11a, 097",Cuneiform Tablet Kt 92/k 487 (AKT 11a 97),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536849,P536849,Q1365798,"AKT 11a, 114",Cuneiform Tablet Kt 92/k 698 (AKT 11a 114),,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536977,P536977,Q1367304,"AMMY 2006, 150-151",Cuneiform Tablet Kt j/k 431,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,536998,P536998,Q2162983,ARK 263,Cuneiform Tablet ARK 263,,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537022,P537022,Q2166719,"ArAn 16/2, 299-303","Cuneiform Tablet ArAn 16/2, 299-303",,P853,Q512152,Old Babylonian Period,Old Assyrian Period,Q512151,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537059,P537059,Q2164958,CDLI Seals 015446 (physical),Cuneiform Artifact CDLI Seals 015446 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537063,P537063,Q2169033,CDLI Seals 015450 (physical),Cuneiform Artifact CDLI Seals 015450 (physical),,P853,Q512155,Middle Assyrian Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537720,P537720,Q2163125,CDLI Seals 017004 (physical),Cuneiform Artifact CDLI Seals 017004 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537825,P537825,Q2169544,CDLI Seals 017057 (physical),Cuneiform Artifact CDLI Seals 017057 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537833,P537833,Q2143445,CDLI Seals 017065 (physical),Cuneiform Artifact CDLI Seals 017065 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537921,P537921,Q2166988,CDLI Seals 017096 (physical),Cuneiform Artifact CDLI Seals 017096 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,537999,P537999,Q2146521,CDLI Seals 017174 (physical),Cuneiform Artifact CDLI Seals 017174 (physical),,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538007,P538007,Q2169957,CDLI Seals 017182 (physical),Cuneiform Artifact CDLI Seals 017182 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538046,P538046,Q2167670,CDLI Seals 017221 (physical),Cuneiform Artifact CDLI Seals 017221 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538050,P538050,Q2158931,CDLI Seals 017225 (physical),Cuneiform Artifact CDLI Seals 017225 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538379,P538379,Q2169788,CDLI Seals 017554 (physical),Cuneiform Artifact CDLI Seals 017554 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538380,P538380,Q2047347,CDLI Seals 017555 (physical),Cuneiform Artifact CDLI Seals 017555 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538396,P538396,Q2169017,CDLI Seals 017571 (physical),Cuneiform Artifact CDLI Seals 017571 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538400,P538400,Q2154952,CDLI Seals 017575 (physical),Cuneiform Artifact CDLI Seals 017575 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538416,P538416,Q2167840,CDLI Seals 017591 (physical),Cuneiform Artifact CDLI Seals 017591 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538441,P538441,Q2165732,CDLI Seals 017616 (physical),Cuneiform Artifact CDLI Seals 017616 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538457,P538457,Q2170101,CDLI Seals 017632 (physical),Cuneiform Artifact CDLI Seals 017632 (physical),,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538504,P538504,Q2165944,CDLI Seals 017679 (physical),Cuneiform Artifact CDLI Seals 017679 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538545,P538545,Q2159656,CDLI Seals 017720 (physical),Cuneiform Artifact CDLI Seals 017720 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538553,P538553,Q2017321,CDLI Seals 017728 (physical),Cuneiform Artifact CDLI Seals 017728 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538768,P538768,Q2167565,CDLI Seals 017943 (physical),Cuneiform Artifact CDLI Seals 017943 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538787,P538787,Q2166617,CDLI Seals 017963 (physical),Cuneiform Artifact CDLI Seals 017963 (physical),,P853,Q512151,Old Assyrian Period,Early Old Babylonian Period,Q512150,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538904,P538904,Q2170228,CDLI Seals 018082 (physical),Cuneiform Artifact CDLI Seals 018082 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538969,P538969,Q2163739,CDLI Seals 018147 (physical),Cuneiform Artifact CDLI Seals 018147 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,538986,P538986,Q2163341,CDLI Seals 018164 (physical),Cuneiform Artifact CDLI Seals 018164 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539010,P539010,Q2162458,CDLI Seals 018188 (physical),Cuneiform Artifact CDLI Seals 018188 (physical),,P853,Q512156,Middle Elamite Period,Middle Assyrian Period,Q512155,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539047,P539047,Q2165197,CDLI Seals 018225 (physical),Cuneiform Artifact CDLI Seals 018225 (physical),,P853,Q512149,Isin-Larsa Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539084,P539084,Q2147888,CDLI Seals 018262 (physical),Cuneiform Artifact CDLI Seals 018262 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539342,P539342,Q2168511,CDLI Seals 018520 (physical),Cuneiform Artifact CDLI Seals 018520 (physical),,P853,Q512156,Middle Elamite Period,Middle Assyrian Period,Q512155,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539354,P539354,Q2165098,CDLI Seals 018799 (physical),Cuneiform Artifact CDLI Seals 018799 (physical),,P853,Q512155,Middle Assyrian Period,Uruk III Period,Q512134,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539657,P539657,Q2167967,CDLI Seals 018777 (physical),Cuneiform Artifact CDLI Seals 018777 (physical),,P853,Q512147,Harappan Period,Lagash II Period,Q512146,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539694,P539694,Q2163321,CDLI Seals 018876 (physical),Cuneiform Artifact CDLI Seals 018876 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539704,P539704,Q2168215,CDLI Seals 018886 (physical),Cuneiform Artifact CDLI Seals 018886 (physical),,P853,Q512155,Middle Assyrian Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539712,P539712,Q2168337,CDLI Seals 018894 (physical),Cuneiform Artifact CDLI Seals 018894 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539745,P539745,Q2166368,CDLI Seals 018927 (physical),Cuneiform Artifact CDLI Seals 018927 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539753,P539753,Q2170596,CDLI Seals 018935 (physical),Cuneiform Artifact CDLI Seals 018935 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539801,P539801,Q2164619,CDLI Seals 018983 (physical),Cuneiform Artifact CDLI Seals 018983 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539895,P539895,Q2166578,CDLI Seals 019077 (physical),Cuneiform Artifact CDLI Seals 019077 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539913,P539913,Q2162723,CDLI Seals 019095 (physical),Cuneiform Artifact CDLI Seals 019095 (physical),,P853,Q512153,Middle Hittite Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539944,P539944,Q2164895,CDLI Seals 019125 (physical),Cuneiform Artifact CDLI Seals 019125 (physical),,P853,Q512155,Middle Assyrian Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539968,P539968,Q2047501,CDLI Seals 019149 (physical),Cuneiform Artifact CDLI Seals 019149 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539987,P539987,Q2063878,CDLI Seals 019168 (physical),Cuneiform Artifact CDLI Seals 019168 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,539991,P539991,Q2169655,CDLI Seals 019172 (physical),Cuneiform Artifact CDLI Seals 019172 (physical),,P853,Q512159,Late Babylonian Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
